Date,AAPL,DIA,DIS,IWM,JPM,MSFT,PFE,SPY,V,XOM
2019-07-12,48.767391204833984,243.07730102539062,141.65565490722656,144.18800354003906,97.41114807128906,131.24465942382812,30.239208221435547,273.7029113769531,172.64781188964844,57.84383773803711
2019-07-15,49.22555160522461,243.26419067382812,141.83164978027344,143.43064880371094,96.22836303710938,131.24465942382812,30.488826751708984,273.79388427734375,172.8775634765625,57.434024810791016
2019-07-16,49.055240631103516,243.10409545898438,141.08856201171875,143.38449096679688,97.25907897949219,129.5249786376953,30.560134887695312,272.910888671875,171.67127990722656,56.5771369934082
2019-07-17,48.77938461303711,242.09043884277344,139.39707946777344,142.35923767089844,96.30442810058594,128.75967407226562,30.481700897216797,271.0536804199219,171.51808166503906,56.241825103759766
2019-07-18,49.33351135253906,242.08163452148438,138.47801208496094,142.89495849609375,96.87889099121094,128.9013671875,30.70991325378418,272.0460510253906,172.8392791748047,55.764957427978516
2019-07-19,48.597076416015625,241.55044555664062,136.7375946044922,142.07293701171875,95.92422485351562,129.09033203125,30.50308609008789,270.5347900390625,171.604248046875,55.876712799072266
2019-07-22,49.70771408081055,241.7283477783203,137.70556640625,141.943603515625,96.54096984863281,130.80052185058594,30.538747787475586,271.19940185546875,172.8775634765625,55.93632125854492
2019-07-23,50.0963134765625,243.24095153808594,138.1162109375,142.88571166992188,98.30671691894531,131.61317443847656,30.73131561279297,273.13848876953125,173.19351196289062,56.159854888916016
2019-07-24,50.05553436279297,242.58251953125,138.14553833007812,145.25021362304688,98.70378112792969,132.96437072753906,30.588666915893555,274.4221496582031,175.52000427246094,56.15241622924805
2019-07-25,49.659751892089844,241.4970245361328,140.02281188964844,143.4953155517578,97.75755310058594,132.46356201171875,30.43177604675293,273.11114501953125,173.8541259765625,55.832008361816406
2019-07-26,49.832454681396484,241.91519165039062,141.43077087402344,145.1947784423828,98.18840789794922,133.5501708984375,30.73131561279297,274.9410400390625,175.86471557617188,55.742584228515625
2019-07-29,50.29781723022461,242.15542602539062,143.1320343017578,144.22499084472656,97.87582397460938,133.25730895996094,29.56167984008789,274.4403076171875,175.40513610839844,56.13750076293945
2019-07-30,50.081932067871094,241.95974731445312,141.70452880859375,145.78598022460938,97.6561508178711,132.6147918701172,27.664602279663086,273.76666259765625,173.79669189453125,56.14496612548828
2019-07-31,51.10380935668945,238.94300842285156,139.82728576660156,144.60366821289062,98.0025634765625,128.75967407226562,27.700258255004883,270.77154541015625,170.41705322265625,55.407283782958984
2019-08-01,49.99795913696289,236.487060546875,138.69308471679688,142.50701904296875,95.41732788085938,130.45098876953125,27.53469467163086,268.4136962890625,171.5372314453125,53.99156951904297
2019-08-02,48.940101623535156,235.64169311523438,138.55621337890625,140.92755126953125,95.40886688232422,129.35491943359375,27.3547306060791,266.3926696777344,169.86178588867188,53.4625244140625
2019-08-05,46.378204345703125,228.78086853027344,135.2220916748047,136.69740295410156,92.57015228271484,124.92339324951172,26.6060733795166,258.38134765625,161.6664581298828,52.367183685302734
2019-08-06,47.25614929199219,231.61953735351562,138.712646484375,137.9535369873047,93.29674530029297,127.2667007446289,26.598878860473633,262.0046081542969,165.13218688964844,52.87387466430664
2019-08-07,47.745506286621094,231.5749969482422,131.858642578125,137.91659545898438,91.26910400390625,127.8241958618164,26.332521438598633,262.1593322753906,167.8512725830078,52.5311279296875
2019-08-08,48.798561096191406,235.0365753173828,134.82122802734375,140.8906707763672,92.815185546875,131.2352294921875,26.541284561157227,267.3030090332031,172.23609924316406,53.931941986083984
2019-08-09,48.39645767211914,234.1912078857422,135.4372100830078,139.11727905273438,92.71379089355469,130.12025451660156,26.166954040527344,265.4822692871094,171.42230224609375,52.784461975097656
2019-08-12,48.27366256713867,230.82757568359375,132.72885131835938,137.31622314453125,90.97339630126953,128.30606079101562,25.475889205932617,262.2504577636719,168.82777404785156,52.527957916259766
2019-08-13,50.31795883178711,234.18243408203125,133.96080017089844,138.79405212402344,92.3758544921875,130.9612579345703,25.339111328125,266.328857421875,171.0010223388672,53.176734924316406
2019-08-14,48.820247650146484,226.9834442138672,129.8933868408203,134.91481018066406,88.54023742675781,127.01737976074219,24.648042678833008,258.45416259765625,166.1183319091797,51.034271240234375
2019-08-15,48.577049255371094,228.12237548828125,130.44093322753906,134.3791046142578,88.87816619873047,126.73299407958984,24.820810317993164,259.1369323730469,169.00430297851562,50.73252868652344
2019-08-16,49.72321319580078,230.9721221923828,132.19107055664062,137.27926635742188,91.00719451904297,129.0556640625,24.94318962097168,262.9605407714844,170.88348388671875,51.52462387084961
2019-08-19,50.650245666503906,233.1669921875,132.27908325195312,138.6647186279297,91.82670593261719,131.2172088623047,25.324718475341797,266.12860107421875,172.33123779296875,52.39217758178711
2019-08-20,50.65266799926758,231.69482421875,132.1226348876953,137.75955200195312,90.66080474853516,130.12692260742188,24.914392471313477,264.0893859863281,171.8518524169922,52.07534408569336
2019-08-21,51.20166778564453,233.7825164794922,132.7386016845703,138.8956298828125,90.91425323486328,131.5774383544922,25.101560592651367,266.23785400390625,173.48175048828125,52.595855712890625
2019-08-22,51.158321380615234,234.25546264648438,133.051513671875,138.57235717773438,91.85204315185547,130.61988830566406,25.252723693847656,266.1559143066406,172.6667938232422,52.482704162597656
2019-08-23,48.793766021728516,228.6612548828125,128.73963928222656,134.32363891601562,89.57097625732422,126.45805358886719,24.720033645629883,259.319091796875,168.0071258544922,50.9135856628418
2019-08-26,49.72080612182617,231.16839599609375,131.61422729492188,135.80145263671875,90.28907775878906,128.4109649658203,25.07996368408203,262.18670654296875,170.26986694335938,51.185157775878906
